0.000000414________0,001354594
6,81___0,000788474
6,82___0,000786707
6,83___0,000785134
6,84___0,000783661
6,85___0,000782328
6,86___0,000781189
6,87___0,000780253
6,88___0,000779363
6,89___0,000778598
6,9___0,000778076
6,91___0,000777867
6,92___0,000777738
6,93___0,000777643
6,94____0,00077759
6,95___0,000777633
6,96___0,000778009
6,97___0,000778488
6,98____0,00077911
6,99___0,000779838
7___0,000780717
7,01___0,000781738
7,02___0,000782865
7,03___0,000784066
7,04___0,000785402
7,05___0,000786876
7,06___0,000788449
7,07___0,000790089
7,08___0,000791831
7,09___0,000793684
7,1___0,000795621
7,11___0,000797619
7,12___0,000799698
7,13___0,000801866
7,14___0,000804101
7,15___0,000806381
7,16___0,000808727
7,17___0,000811143
7,18___0,000813597
7,19___0,000816102
7,2___0,000818657
7,21___0,000821242
7,22___0,000823848
7,23___0,000826466
7,24___0,000829104
7,25___0,000831765
7,26___0,000834432
7,27___0,000837084
7,28___0,000839722
7,29___0,000842359
7,3___0,000844976
7,31___0,000847555
7,32___0,000850091
7,33___0,000852603
7,34___0,000855072
7,35___0,000857479
7,36___0,000859811
7,37___0,000862082
7,38___0,000864295
7,39___0,000866453
7,4___0,000868478
7,41___0,000870445
7,42___0,000872335
7,43___0,000874105
7,44___0,000875733
7,45___0,000877292
7,46___0,000878745
7,47___0,000880039
7,48___0,000881159
7,49___0,000882232
7,5___0,000883187
7,51___0,000883917
7,52___0,000884353
7,53___0,000884697
7,54___0,000884972
7,55___0,000885138
7,56___0,000885145
7,57___0,000884856
7,58___0,000884325
7,59___0,000883654
7,6___0,000882909
7,61___0,000881813
7,62___0,000880528
7,63___0,000879043
7,64___0,000877365
7,65___0,000875452
7,66___0,000873314
7,67___0,000870985
7,68______0,0008685
7,69___0,000865783
7,7___0,000862817
7,71___0,000859648
7,72____0,00085632
7,73___0,000852783
7,74____0,00084901
7,75___0,000845035
7,76___0,000840892
7,77____0,00083654
7,78___0,000831954
7,79___0,000827181
7,8___0,000822268
7,81___0,000817145
7,82____0,00081178
7,83___0,000806253
7,84___0,000800519
7,85___0,000794579
7,86___0,000788478
7,87___0,000782222
7,88___0,000775812
7,89___0,000769233
7,9___0,000762472
7,91___0,000755551
7,92___0,000748498
7,93___0,000741315
7,94___0,000733974
7,95___0,000726496
7,96___0,000718901
7,97___0,000711197
7,98___0,000703355
7,99___0,000695397
8___0,000687351
8,01___0,000679221
8,02___0,000670963
8,03___0,000662625
8,04___0,000654209
8,05___0,000645689
8,06___0,000637105
8,07___0,000628466
8,08___0,000619777
8,09____0,00061104
8,1____0,00060224
8,11___0,000593393
8,12___0,000584519
8,13___0,000575633
8,14___0,000566714
8,15___0,000557773
8,16____0,00054883
8,17___0,000539901
8,18___0,000530968
8,19___0,000522037
8,2____0,00051313
8,21___0,000504264
8,22___0,000495432
8,23____0,00048663
8,24____0,00047786
8,25___0,000469131
8,26___0,000460496
8,27___0,000451896
8,28____0,00044336
8,29___0,000434916
8,3___0,000426549
8,31___0,000418253
8,32___0,000410047
8,33___0,000401948
8,34___0,000393945
8,35___0,000386032
8,36___0,000378229
8,37___0,000370555
8,38___0,000362999
8,39____0,00035555
8,4___0,000348229
8,41____0,00034106
8,42____0,00033405
8,43___0,000327178
8,44___0,000320433
8,45___0,000313802
8,46____0,00030736
8,47___0,000301116
8,48___0,000294989
8,49___0,000289036
8,5___0,000283274
8,51___0,000277646
8,52___0,000272166
8,53___0,000266853
8,54___0,000261706
8,55___0,000256701
8,56___0,000251845
8,57___0,000247148
8,58___0,000242611
8,59___0,000238208
8,6___0,000233948
8,61___0,000229842
8,62___0,000225896
8,63___0,000222088
8,64___0,000218413
8,65___0,000214868
8,66___0,000211457
8,67___0,000208207
8,68___0,000205086
8,69___0,000202084
8,7___0,000199275
8,71___0,000196568
8,72___0,000193964
8,73___0,000191499
8,74___0,000189199
8,75___0,000187012
8,76___0,000184943
8,77___0,000183015
8,78___0,000181245
8,79____0,00017958
8,8___0,000178024
8,81___0,000176608
8,82____0,00017536
